Article_ID,Article_Title,Article_URL,Article_Authors,Type,Article_Year,Excluded_Reason
WW3QGTPY,Public-private partnerships and collective cyber defence,https://ieeexplore.ieee.org/abstract/document/9810912,,conferencePaper,2022,Only paid version available
X7NIJNNJ,Tackling cybersecurity challenges in the energy and water sectors in the context of the cybersecurity and sectoral regulatory frameworks: the case of smart metering systems in the new digitalised environment,https://www.tandfonline.com/doi/full/10.1080/13600869.2022.2094609,"Markopoulou, Dimitra",journalArticle,2023,Only paid version available
5NMA7C52,A Short Review of Cybersecurity Issues and Efforts in the Water Industry,https://link.springer.com/10.1007/978-981-99-3708-0_27,,bookSection,2023,Only paid version available
LPCVPB5R,Vulnerability Assessment and Analysis of SCADA and Foundation Fieldbus on Industrial Control System (ICS) Networks: A Literature Revie.,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=09739904&AN=163472952&h=RIfIAHCsUQBAX7WEHsAZJ2psL9s%2FaeGPwAn6wgfCB7jHTDV216xabNXSyiX7SyekzAsXaiiUoSNh0yHd56IzXg%3D%3D&crl=c,"Akheel, Mubashir Ahmed",journalArticle,2023,Full text not available
45AH326X,Modeling and Assessing the Impacts of Cyber Threats on Interdependent Critical Infrastructures,https://link.springer.com/chapter/10.1007/978-3-031-49585-4_7,,conferencePaper,2023,Only paid version available
XPCSZFNL,Cybersecurity in Water Infrastructure Systems: An Overview,https://link.springer.com/10.1007/698_2024_1208,,bookSection,2024,Only paid version available
5WUAPDGE,"What Every Water Utility Should Know About CyberSecurity: Minutes Matter, Seconds Count",https://www.accesswater.org/publications/proceedings/-10116313/what-every-water-utility-should-know-about-cybersecurity-minutes-matter-seconds-count,"Humphries, Chad",conferencePaper,2024,Only paid version available
HWP5VA2H,"Actor Behaviour, Notable Incidents in Critical Infrastructures, and Risks to the Health Sector",https://doi.org/10.1201/9781003469506-5,"Johnstone, Michael N.; Crowley, Michael; Murray, Glenn",bookSection,2024,Only paid version available
NSQ5Z2Y7,Integrating human factors and systemic resilience: An interdisciplinary approach to cybersecurity in critical infrastructures and utilities,https://doi.org/10.1201/9781032664859-1,"Moonsammy, Avisen; Ahmed, Mohiuddin; Guidetti, Oliver; Rashid, Bazlur",bookSection,2024,Only paid version available
JR9MMXIR,Protecting Critical National Infrastructures: An Overview of Cyberattacks and Countermeasures,https://link.springer.com/10.1007/978-981-99-7569-3_25,,bookSection,2024,Only paid version available
ES3SA6JJ,Take Advantage of Common-Sense Cybersecurity Practices.,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=01498029&AN=177290377&h=6jQncFknA93u1L7fyn9J%2FhOkOuB3zoSrpl%2FtTKIIhE8zAvIhNUMOYGIDWYS45Wtc%2FAdg9vT8hZm8V1dEFo1c3w%3D%3D&crl=c,"Khattab, Ahmed Ibrahim",journalArticle,2024,Only paid version available
DPSQIDZB,Exploration of Ensemble Methods for Cyber Attack Detection in Cyber-Physical Systems,https://link.springer.com/10.1007/978-3-031-63211-2_25,,bookSection,2024,Only paid version available
BP37KPDR,Safety analysis for cyber-physical systems under cyber attacks using digital twin,https://ieeexplore.ieee.org/abstract/document/10679484/,"Wang, Ruizhe; Venugopalan, Sarad; Adepu, Sridhar",conferencePaper,2024,Only paid version available
G9TR2HNS,Dumb Devices/Smart Adversaries: Real Threats in Critical Infrastructure,https://link.springer.com/10.1007/978-3-031-61117-9_5,,bookSection,2024,Only paid version available
IE5ITWWK,Emerging trends in cybersecurity challenges with reference to pen testing tools in Society 5.0,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003397052-18/emerging-trends-cybersecurity-challenges-reference-pen-testing-tools-society-5-0-gaganpreet-kaur-bharathiraja-kiran-deep-singh-veeramanickam-ciro-rodriguez-rodriguez-pradeepa,"Kaur, Gaganpreet; Bharathiraja, N.; Singh, Kiran Deep; Veeramanickam, M. R. M.; Rodriguez, Ciro Rodriguez; Pradeepa, K.",journalArticle,2024,Only paid version available
C24H9WT9,Bridging the gap between IT and OT to improve industrial cyber security,https://www.ingentaconnect.com/content/hsp/jcs/2024/00000007/00000004/art00005,,journalArticle,2024,Only available as paid version / university login broken
DATRU4E9,Investigating the Implications of Operations Technology in Cyber Crimes,https://ieeexplore.ieee.org/abstract/document/10726061/,,conferencePaper,2024,Only available as paid version
MVUUHUT9,Generative AI and cognitive computing-driven intrusion detection system in industrial CPS,https://link.springer.com/article/10.1007/s12559-024-10309-w,,journalArticle,2024,Only available as paid version
52IYBQQJ,Cyber Threat Modeling for Water and Wastewater Systems: Contextualizing STRIDE and DREAD with the Current Cyber Threat Landscape,https://ieeexplore.ieee.org/document/10534706/,"Davis, Rian; Keskin, Omer F.",conferencePaper,2024,Only paid version available
FE6PS4KY,"Advancing Critical Infrastructure Resilience to Hybrid Threats through a Systems Approach, Standardization, and MCDA",https://link.springer.com/10.1007/978-94-024-2304-4_14,,bookSection,2025,Only available as paid version
5LZIXCQR,"CYBERSECURITY CHALLENGES IN SMART CITY INFRASTRUCTURE: SECURING IOT, SENSORS, AND URBAN DATA NETWORKS",https://www.researchgate.net/profile/Paul-James-35/publication/392408476_CYBERSECURITY_CHALLENGES_IN_SMART_CITY_INFRASTRUCTURE_SECURING_IOT_SENSORS_AND_URBAN_DATA_NETWORKS/links/68412adf8a76251f22eba11b/CYBERSECURITY-CHALLENGES-IN-SMART-CITY-INFRASTRUCTURE-SECURING-IOT-SENSORS-AND-URBAN-DATA-NETWORKS.pdf,"James, Paul",journalArticle,2025,Full text not available
N7C9JYP5,"Cybersecurity Concerns Regarding “Smart Grid Networks,” the Internet of Things, and Automation's Future",https://www.taylorfrancis.com/chapters/edit/10.1201/9781003482338-12/cybersecurity-concerns-regarding-smart-grid-networks-internet-things-automation-future-ramiz-salama-fadi-al-turjman,"Salama, Ramiz; Al-Turjman, Fadi",bookSection,2025,Only paid version available
39NHTK5W,Hacktivism or Cyber Warfare? Decoding the Motivations Behind Cyber Attacks Targeting Israel,https://link.springer.com/10.1007/978-3-031-86305-9_15,,bookSection,2025,Only paid version available
2L92LKWJ,Securing digital assets: An intelligent fusion of data-driven approaches,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003590439-4/securing-digital-assets-abha-kiran-rajpoot-gaurav-agrawal-kavya-gupta-anurag-gupta-anjali-chauhan,"Rajpoot, Abha Kiran; Agrawal, Gaurav; Gupta, Kavya; Gupta, Anurag; Chauhan, Anjali",bookSection,2025,Only paid version available
TGI2ZYK5,WIPP - Towards a Delay-Sensitive Provenance Framework for Operational Technology Networks,https://ieeexplore.ieee.org/document/10799471/,"Porras, Christopher; Tosh, Deepak",conferencePaper,2024,Only paid version available
YKMAD5T7,A review on the static and dynamic risk assessment methods for OT cybersecurity in industry 4.0,https://doi.org/10.1016/j.cose.2024.104295,"Halawi Ghoson, Nourhan; Meyrueis, Vincent; Benfriha, Khaled; Guiltat, Thomas; Loubère, Stéphane",journalArticle,2025,Only paid version available
